20
10
3 4 5
1H -> 0
1D -> 0
2H -> 0
2D -> 0
3H -> 0
3D -> 0
4H -> 0
4D -> 0
5H -> 0
5D -> 0
6H -> 0
6D -> 0
7H -> 7
7D -> 20
8H -> 8
8D -> 21
9H -> 9
9D -> 22
10H -> 10
10D -> 23
11H -> 11
11D -> 24
12H -> 12
12D -> 25
13H -> 13
13D -> 26
1H 1D -> 0
1H 2H -> 0
1H 2D -> 0
1H 3H -> 0
1H 3D -> 0
1H 4H -> 0
1H 4D -> 0
1H 5H -> 0
1H 5D -> 0
1H 6H -> 1
1H 6D -> 1
1H 7H -> 7
1H 7D -> 20
1H 8H -> 8
1H 8D -> 21
1H 9H -> 9
1H 9D -> 22
1H 10H -> 10
1H 10D -> 23
1H 11H -> 11
1H 11D -> 24
1H 12H -> 12
1H 12D -> 25
1H 13H -> 13
1H 13D -> 26
1D 2H -> 0
1D 2D -> 0
1D 3H -> 0
1D 3D -> 0
1D 4H -> 0
1D 4D -> 0
1D 5H -> 0
1D 5D -> 0
1D 6H -> 6
1D 6D -> 14
1D 7H -> 7
1D 7D -> 20
1D 8H -> 8
1D 8D -> 21
1D 9H -> 9
1D 9D -> 22
1D 10H -> 10
1D 10D -> 23
1D 11H -> 11
1D 11D -> 24
1D 12H -> 12
1D 12D -> 25
1D 13H -> 13
1D 13D -> 26
2H 2D -> 0
2H 3H -> 0
2H 3D -> 0
2H 4H -> 0
2H 4D -> 0
2H 5H -> 2
2H 5D -> 2
2H 6H -> 2
2H 6D -> 2
2H 7H -> 7
2H 7D -> 20
2H 8H -> 8
2H 8D -> 21
2H 9H -> 9
2H 9D -> 22
2H 10H -> 10
2H 10D -> 23
2H 11H -> 11
2H 11D -> 24
2H 12H -> 12
2H 12D -> 25
2H 13H -> 13
2H 13D -> 26
2D 3H -> 0
2D 3D -> 0
2D 4H -> 0
2D 4D -> 0
2D 5H -> 5
2D 5D -> 15
2D 6H -> 6
2D 6D -> 15
2D 7H -> 7
2D 7D -> 20
2D 8H -> 8
2D 8D -> 21
2D 9H -> 9
2D 9D -> 22
2D 10H -> 10
2D 10D -> 23
2D 11H -> 11
2D 11D -> 24
2D 12H -> 12
2D 12D -> 25
2D 13H -> 13
2D 13D -> 26
3H 3D -> 0
3H 4H -> 3
3H 4D -> 3
3H 5H -> 3
3H 5D -> 3
3H 6H -> 3
3H 6D -> 3
3H 7H -> 7
3H 7D -> 20
3H 8H -> 8
3H 8D -> 21
3H 9H -> 9
3H 9D -> 22
3H 10H -> 10
3H 10D -> 23
3H 11H -> 11
3H 11D -> 24
3H 12H -> 12
3H 12D -> 25
3H 13H -> 13
3H 13D -> 26
3D 4H -> 4
3D 4D -> 16
3D 5H -> 5
3D 5D -> 16
3D 6H -> 6
3D 6D -> 16
3D 7H -> 7
3D 7D -> 20
3D 8H -> 8
3D 8D -> 21
3D 9H -> 9
3D 9D -> 22
3D 10H -> 10
3D 10D -> 23
3D 11H -> 11
3D 11D -> 24
3D 12H -> 12
3D 12D -> 25
3D 13H -> 13
3D 13D -> 26
4H 4D -> 4
4H 5H -> 4
4H 5D -> 4
4H 6H -> 4
4H 6D -> 4
4H 7H -> 7
4H 7D -> 20
4H 8H -> 8
4H 8D -> 21
4H 9H -> 9
4H 9D -> 22
4H 10H -> 10
4H 10D -> 23
4H 11H -> 11
4H 11D -> 24
4H 12H -> 12
4H 12D -> 25
4H 13H -> 13
4H 13D -> 26
4D 5H -> 5
4D 5D -> 17
4D 6H -> 6
4D 6D -> 17
4D 7H -> 7
4D 7D -> 20
4D 8H -> 8
4D 8D -> 21
4D 9H -> 9
4D 9D -> 22
4D 10H -> 10
4D 10D -> 23
4D 11H -> 11
4D 11D -> 24
4D 12H -> 12
4D 12D -> 25
4D 13H -> 13
4D 13D -> 26
5H 5D -> 5
5H 6H -> 5
5H 6D -> 5
5H 7H -> 7
5H 7D -> 20
5H 8H -> 8
5H 8D -> 21
5H 9H -> 9
5H 9D -> 22
5H 10H -> 10
5H 10D -> 23
5H 11H -> 11
5H 11D -> 24
5H 12H -> 12
5H 12D -> 25
5H 13H -> 13
5H 13D -> 26
5D 6H -> 6
5D 6D -> 18
5D 7H -> 7
5D 7D -> 20
5D 8H -> 8
5D 8D -> 21
5D 9H -> 9
5D 9D -> 22
5D 10H -> 10
5D 10D -> 23
5D 11H -> 11
5D 11D -> 24
5D 12H -> 12
5D 12D -> 25
5D 13H -> 13
5D 13D -> 26
6H 6D -> 6
6H 7H -> 7
6H 7D -> 20
6H 8H -> 8
6H 8D -> 21
6H 9H -> 9
6H 9D -> 22
6H 10H -> 10
6H 10D -> 23
6H 11H -> 11
6H 11D -> 24
6H 12H -> 12
6H 12D -> 25
6H 13H -> 13
6H 13D -> 26
6D 7H -> 7
6D 7D -> 20
6D 8H -> 8
6D 8D -> 21
6D 9H -> 9
6D 9D -> 22
6D 10H -> 10
6D 10D -> 23
6D 11H -> 11
6D 11D -> 24
6D 12H -> 12
6D 12D -> 25
6D 13H -> 13
6D 13D -> 26
7H 7D -> 7
7H 8H -> 8
7H 8D -> 21
7H 9H -> 9
7H 9D -> 22
7H 10H -> 27
7H 10D -> 27
7H 11H -> 27
7H 11D -> 27
7H 12H -> 27
7H 12D -> 27
7D 8H -> 8
7D 8D -> 21
7D 9H -> 9
7D 9D -> 22
7D 10H -> 27
7D 10D -> 27
7D 11H -> 27
7D 11D -> 27
7D 12H -> 27
7D 12D -> 27
8H 8D -> 27
8H 9H -> 27
8H 9D -> 27
8H 10H -> 27
8H 10D -> 27
8H 11H -> 27
8H 11D -> 27
8D 9H -> 27
8D 9D -> 27
8D 10H -> 27
8D 10D -> 27
8D 11H -> 27
8D 11D -> 27
9H 9D -> 27
9H 10H -> 27
9H 10D -> 27
9D 10H -> 27
9D 10D -> 27
1H 1D 2H -> 14
1H 1D 2D -> 14
1H 1D 3H -> 1
1H 1D 3D -> 1
1H 1D 4H -> 4
1H 1D 4D -> 17
1H 1D 5H -> 1
1H 1D 5D -> 1
1H 1D 6H -> 6
1H 1D 6D -> 19
1H 1D 7H -> 7
1H 1D 7D -> 20
1H 1D 8H -> 8
1H 1D 8D -> 21
1H 1D 9H -> 9
1H 1D 9D -> 22
1H 1D 10H -> 10
1H 1D 10D -> 23
1H 1D 11H -> 11
1H 1D 11D -> 24
1H 1D 12H -> 12
1H 1D 12D -> 25
1H 1D 13H -> 13
1H 1D 13D -> 26
1H 2H 2D -> 15
1H 2H 3H -> 1
1H 2H 3D -> 16
1H 2H 4H -> 1
1H 2H 4D -> 1
1H 2H 5H -> 5
1H 2H 5D -> 18
1H 2H 6H -> 6
1H 2H 6D -> 19
1H 2H 7H -> 7
1H 2H 7D -> 20
1H 2H 8H -> 8
1H 2H 8D -> 21
1H 2H 9H -> 9
1H 2H 9D -> 22
1H 2H 10H -> 10
1H 2H 10D -> 23
1H 2H 11H -> 11
1H 2H 11D -> 24
1H 2H 12H -> 12
1H 2H 12D -> 25
1H 2H 13H -> 13
1H 2H 13D -> 26
1H 2D 3H -> 1
1H 2D 3D -> 16
1H 2D 4H -> 1
1H 2D 4D -> 1
1H 2D 5H -> 5
1H 2D 5D -> 18
1H 2D 6H -> 6
1H 2D 6D -> 19
1H 2D 7H -> 7
1H 2D 7D -> 20
1H 2D 8H -> 8
1H 2D 8D -> 21
1H 2D 9H -> 9
1H 2D 9D -> 22
1H 2D 10H -> 10
1H 2D 10D -> 23
1H 2D 11H -> 11
1H 2D 11D -> 24
1H 2D 12H -> 12
1H 2D 12D -> 25
1H 2D 13H -> 13
1H 2D 13D -> 26
1H 3H 3D -> 1
1H 3H 4H -> 3
1H 3H 4D -> 3
1H 3H 5H -> 5
1H 3H 5D -> 3
1H 3H 6H -> 6
1H 3H 6D -> 19
1H 3H 7H -> 7
1H 3H 7D -> 20
1H 3H 8H -> 8
1H 3H 8D -> 21
1H 3H 9H -> 9
1H 3H 9D -> 22
1H 3H 10H -> 10
1H 3H 10D -> 23
1H 3H 11H -> 11
1H 3H 11D -> 24
1H 3H 12H -> 12
1H 3H 12D -> 25
1H 3H 13H -> 13
1H 3H 13D -> 26
1H 3D 4H -> 4
1H 3D 4D -> 16
1H 3D 5H -> 5
1H 3D 5D -> 18
1H 3D 6H -> 6
1H 3D 6D -> 19
1H 3D 7H -> 7
1H 3D 7D -> 20
1H 3D 8H -> 8
1H 3D 8D -> 21
1H 3D 9H -> 9
1H 3D 9D -> 22
1H 3D 10H -> 10
1H 3D 10D -> 23
1H 3D 11H -> 11
1H 3D 11D -> 24
1H 3D 12H -> 12
1H 3D 12D -> 25
1H 3D 13H -> 13
1H 3D 13D -> 26
1H 4H 4D -> 4
1H 4H 5H -> 5
1H 4H 5D -> 18
1H 4H 6H -> 6
1H 4H 6D -> 19
1H 4H 7H -> 7
1H 4H 7D -> 20
1H 4H 8H -> 8
1H 4H 8D -> 21
1H 4H 9H -> 9
1H 4H 9D -> 22
1H 4H 10H -> 10
1H 4H 10D -> 23
1H 4H 11H -> 11
1H 4H 11D -> 24
1H 4H 12H -> 12
1H 4H 12D -> 25
1H 4H 13H -> 13
1H 4H 13D -> 26
1H 4D 5H -> 5
1H 4D 5D -> 18
1H 4D 6H -> 6
1H 4D 6D -> 19
1H 4D 7H -> 7
1H 4D 7D -> 20
1H 4D 8H -> 8
1H 4D 8D -> 21
1H 4D 9H -> 9
1H 4D 9D -> 22
1H 4D 10H -> 10
1H 4D 10D -> 23
1H 4D 11H -> 11
1H 4D 11D -> 24
1H 4D 12H -> 12
1H 4D 12D -> 25
1H 4D 13H -> 13
1H 4D 13D -> 26
1H 5H 5D -> 5
1H 5H 6H -> 6
1H 5H 6D -> 19
1H 5H 7H -> 7
1H 5H 7D -> 20
1H 5H 8H -> 8
1H 5H 8D -> 21
1H 5H 9H -> 9
1H 5H 9D -> 22
1H 5H 10H -> 10
1H 5H 10D -> 23
1H 5H 11H -> 11
1H 5H 11D -> 24
1H 5H 12H -> 12
